Zona,Immuebla,Edificio,Uso,Calle,Calle2,Colonia,Delegación/Colonia,Año estimado de construcción,Número de pisos:,Sistema estructural,Periodo estimado de la estructura (Te),Periodo estimado del suelo (Ts),amax Estructura,amax Suelo,Cociente Te/Ts,Daño,Daño en Estructuras,Observaciones,Agravante de los daños,MM,Geometry
17M,17M|COY_127,Edificio,Edificio de departamentos,Av. Cafetales 1819,Calz. Taxqueña y Cerro San Antonio,Campestre Churubusco,Coyoacán,1964,5,Marcos de concreto con muros de mampostería,0.48,1.679248,88.67672,238.0075,0.2858422,Menores,Grietas en acabados y elementos no estructurales,"Agrietamiento por cortante de un muro de la planta baja, daño por cortante una la columna de la planta baja",Irregularidad en planta,4970,"POLYGON((-99.1136085144283 19.3012757836961, -99.1136354443032 19.3011866825084, -99.1136364058327 19.3011865827764, -99.1139423715643 19.3011539551906, -99.1139434306855 19.3012397303977))"
17M,17M|COY_69,Casa,Edificio de departamentos,Cda. Francisco I. Madero 86,Ignacio Zaragoza y Bugambilias,Viejo Ejido de Santa Úrsula Coapa,Coyoacán,1991,4,Muros de mampostería confinada,0.316,0.6896957,145.3822,232.7418,0.4581731,Menores,Grietas en acabados y elementos no estructurales,Pequeñas Grietas en viga,Ninguno apreciable,4980,"POLYGON((-99.1435716788334 19.3015138022263, -99.1436339802546 19.3014371423926, -99.1436822159969 19.3014700283937, -99.1436448832289 19.3015206152186, -99.1436853737596 19.3015485427679, -99.1437040808034 19.30152602377, -99.1437686583724 19.3015730377088, -99.1437310199628 19.3016225673189, -99.1437233688738 19.3016164791664, -99.143707668248 19.3016058483838))"
17M,17M|COY_05,Edificio,Edificio de departamentos,Rancho de los Arcos 32,Calz del Hueso y Rancho Vista Hermosa,Girasoles,Coyoacán,1984,6,Columnas y losa plana de concreto,0.7572634,1.166782,141.598,617.8574,0.6490185,Colapso total,Colapso de la planta baja o de toda la estructura,Colapso total de la estructura.,Irregularidad en planta,4920,"POLYGON((-99.1229426504712 19.3046462517817, -99.122942688282 19.3046458903002, -99.122964328622 19.3044181847802, -99.1232865110153 19.3044431626716, -99.1232659578227 19.3046724042049))"
17M,17M|COY_128,Plaza,Comercio,Calz. Del Hueso 480,Rancho Vista Hermosa y Calzada del Hueso,Girasoles II,Coyoacán,1980,2,Marcos de concreto,0.2817331,1.127257,141.598,318.786,0.249928,Colapso parcial,Colapso de pisos superiores,"Colapso de una esquina del local, daños en otros locales del mismo predio","Efecto de esquina
Irregularidad en planta",4920,"POLYGON((-99.1236712576969 19.3042429694903, -99.1237135190732 19.3037408289017, -99.1244177837065 19.3040276900787, -99.1243943878587 19.3042967671669, -99.1240406872097 19.3042700553714))"
17M,17M|COY_93,Edificio,Edificio de departamentos,Canal de Miramontes 3040,E. Pallares & Potillo y América,Barrio San Lucas,Coyoacán,1976,7,Marcos de concreto con muros de mampostería,0.6177849,1.126042,141.598,530.1363,0.5486342,Graves,"Grietas grandes en muros, trabes o columnas","Agrietamiento por cortante en muros de mampostería en todo el edificio, desprendimiento de recubrimiento y fragmentos de muro","Irregularidad en planta
Efecto de columna corta",4920,"POLYGON((-99.1239985329987 19.3047245271703, -99.1240194779574 19.3044987281894, -99.124374143845 19.304529298508, -99.1243548248557 19.3047514824006))"
17M,17M|COY_91,Edificio,Edificio de departamentos,Rancho El Encanto 100,Esq. Av. Canal de Miramontes,Churubusco Country Club,Coyoacán,1972,5,Marcos de concreto con muros de mampostería,0.48,1.595194,101.5111,224.5158,0.3009038,Menores,Grietas en acabados y elementos no estructurales,Desplome del edificio,"Golpeteo
Planta baja débil
Irregularidad en planta",4930,"POLYGON((-99.1148329474093 19.3051511348307, -99.1148373692665 19.3049521746885, -99.1149243471661 19.3049562569619, -99.1149112892639 19.3051544428954))"
17M,17M|COY_04-C,Edificio,Edificio de departamentos,Canal de Miramontes 3020,Calz del Hueso y Rancho Vista Hermosa,Girasoles II,Coyoacán,1980,7,Marcos de concreto,0.8699596,1.122085,141.598,688.7344,0.7753066,Menores,Grietas en acabados y elementos no estructurales,Pequeñas grietas en acabados,"Planta baja débil
Irregularidad en planta",4920,"POLYGON((-99.1239382550746 19.3054218759797, -99.1239588102143 19.3051840223229, -99.1243144594226 19.3052156229659, -99.1242938849354 19.305452256831))"
17M,17M|COY_04-A,Edificio,Edificio de departamentos,Canal de Miramontes 3010,Calz del Hueso y Rancho Vista Hermosa,Girasoles II,Coyoacán,1980,6,Muros de mampostería confinada,0.474,1.119867,141.598,439.7069,0.4232645,Intermedio,"Grietas pequeñas en muros, trabes o columnas","Presenta desprendimientos de recubrimiento, grietas y colapsos en algunos muros de carga","Golpeteo
Irregularidad en planta",4920,"POLYGON((-99.1239183605753 19.3056522198238, -99.1239382550746 19.3054218759797, -99.1242938849354 19.305452256831, -99.1242729058557 19.3056829265139, -99.1239193223031 19.3056523008351))"
17M,17M|COY_04-B,Edificio,Edificio de departamentos,Canal de Miramontes 3004,Calz del Hueso y Rancho Vista Hermosa,Girasoles II,Coyoacán,1982,7,Marcos de concreto,0.8699596,1.119867,141.598,688.7344,0.7768418,Intermedio,"Grietas pequeñas en muros, trabes o columnas",Algunas grietas diagonales que salen de los huecos para ventanas,"Golpeteo
Planta baja débil
Irregularidad en planta",4920,"POLYGON((-99.1238988438876 19.3058787138298, -99.1239193223031 19.3056523008351, -99.1242728582484 19.3056829265296, -99.1242729058557 19.3056829265139, -99.1242526348424 19.305905869487))"
17M,17M|COY_15,Edificio,Edificio de departamentos,Rancho del Arco 76,Rancho Vista Hermosa y Calz del Hueso,Girasoles II,Coyoacán,1979,5,Marcos de concreto con muros de mampostería,0.48,1.162621,141.598,443.4804,0.4128602,Menores,Grietas en acabados y elementos no estructurales,Pequeñas grietas,Irregularidad en planta,4920,"POLYGON((-99.1228129599317 19.3060267072205, -99.1228132904417 19.3060230924282, -99.1228338639734 19.305794050236, -99.1231632193069 19.3058190536632, -99.1231415154441 19.3060509338974))"
